event,pTHat,pythiaWeight,manualBias,manualWeight
0,4.69324,1,1,1
1,1.76366,1,1,1
2,3.35993,1,1,1
3,2.66169,1,1,1
4,1.00319,1,1,1
5,1.34347,1,1,1
6,2.89167,1,1,1
7,1.86807,1,1,1
8,1.61402,1,1,1
9,1.44638,1,1,1
10,1.16959,1,1,1
11,2.03196,1,1,1
12,6.17344,1,1,1
13,5.07907,1,1,1
14,2.49005,1,1,1
15,1.01339,1,1,1
16,1.65561,1,1,1
17,7.77495,1,1,1
18,1.71783,1,1,1
19,2.10375,1,1,1
20,1.15985,1,1,1
21,1.21711,1,1,1
22,3.19748,1,1,1
23,1.28642,1,1,1
24,1.66306,1,1,1
25,1.04607,1,1,1
26,3.54444,1,1,1
27,1.92629,1,1,1
28,1.03732,1.00869,1,1.00869
29,1.50243,1,1,1
30,1.55098,1,1,1
31,1.44914,1,1,1
32,2.9249,1,1,1
33,2.57872,1,1,1
34,2.71641,1,1,1
35,4.63412,1,1,1
36,1.71514,1,1,1
37,1.24153,1,1,1
38,1.16836,1,1,1
39,1.25586,1,1,1
40,31.4281,1,1000,0.001
41,1.63409,1,1,1
42,3.18613,1,1,1
43,1.0393,1,1,1
44,1.09799,1,1,1
45,2.22829,1,1,1
46,1.81039,1,1,1
47,1.87017,1,1,1
48,3.65218,1,1,1
49,1.26118,1,1,1
50,1.03435,1,1,1
51,3.29384,1,1,1
52,2.50982,1,1,1
53,1.10347,1,1,1
54,2.05174,1,1,1
55,5.72074,1,1,1
56,14.2487,1,2.47531,0.40399
57,51.9674,1,1000,0.001
58,1.56042,1,1,1
59,1.67598,1,1,1
60,3.48641,1,1,1
61,2.17794,1,1,1
62,1.40728,1,1,1
63,5.81747,1,1,1
64,1.74474,1,1,1
65,1.59798,1,1,1
66,2.40901,1,1,1
67,2.462,1,1,1
68,1.24232,1,1,1
69,1.75838,1,1,1
70,2.31633,1,1,1
71,1.30816,1,1,1
72,1.46248,1,1,1
73,1.06617,1,1,1
74,1.20942,1,1,1
75,1.14451,1,1,1
76,39.7713,1,1000,0.001
77,1.98944,1,1,1
78,1.26898,1,1,1
79,2.29959,1,1,1
80,1.21961,1,1,1
81,1.97189,1,1,1
82,1.61274,1,1,1
83,1.83195,1,1,1
84,1.03785,1,1,1
85,2.53666,1,1,1
86,2.9905,1,1,1
87,1.26632,1,1,1
88,1.08342,1,1,1
89,45.8732,1,1000,0.001
90,1.52964,1,1,1
91,1.98884,1,1,1
92,1.69271,1,1,1
93,29.9379,1,900.333,0.0011107
94,1.25479,1,1,1
95,1.16903,1,1,1
96,1.67816,1,1,1
97,1.15277,1,1,1
98,3.9661,1,1,1
99,37.0326,1.44392,1000,0.00144392
100,1.06352,1,1,1
101,1.21098,1,1,1
102,6.30876,1,1,1
103,2.47257,1,1,1
104,2.11242,1,1,1
105,1.65539,1,1,1
106,1.05834,1,1,1
107,19.5516,1,22.5847,0.0442778
108,2.76461,1,1,1
109,1.72398,1,1,1
110,1.32505,1,1,1
111,1.29529,1,1,1
112,1.22047,1,1,1
113,1.18618,1,1,1
114,1.51949,1,1,1
115,3.87769,1,1,1
116,2.7948,1,1,1
117,3.21184,1,1,1
118,2.23795,1,1,1
119,10.0162,1,1,1
120,2.62282,1,1,1
121,1.08388,1,1,1
122,36.3736,1,1000,0.001
123,1.4044,1,1,1
124,2.30052,1,1,1
125,2.55698,1,1,1
126,1.08552,1,1,1
127,1.20254,1,1,1
128,1.3482,1,1,1
129,37.1216,1,754.21,0.00132589
130,1.22282,1,1,1
131,1.50035,1,1,1
132,1.70054,1,1,1
133,1.34721,1,1,1
134,1.19472,1,1,1
135,1.23761,1,1,1
136,30.7918,1,356.56,0.00280457
137,1.55776,1,1,1
138,1.05278,1,1,1
139,3.65446,1,1,1
140,1.22964,1,1,1
141,24.9878,1,124.89,0.00800702
142,6.99545,1,1,1
143,1.92976,1,1,1
144,35.3808,1,722.496,0.00138409
145,1.74873,1,1,1
146,1.12624,1,1,1
147,1.01269,1,1,1
148,2.28843,1,1,1
149,2.00408,1,1,1
150,1.7279,1,1,1
151,1.25441,1,1,1
152,1.3825,1,1,1
153,1.25727,1,1,1
154,1.62542,1,1,1
155,1.71048,1,1,1
156,1.12703,1,1,1
157,1.78265,1,1,1
158,1.21525,1,1,1
159,1.82838,1,1,1
160,2.57497,1,1,1
161,1.12455,1,1,1
162,1.37019,1,1,1
163,1.70111,1,1,1
164,1.26127,1,1,1
165,2.86169,1,1,1
166,1.0339,1,1,1
167,3.80883,1,1,1
168,3.17367,1,1,1
169,1.10886,1,1,1
170,1.67413,1,1,1
171,1.22126,1,1,1
172,1.38193,1,1,1
173,1.02334,1,1,1
174,1.29176,1,1,1
175,3.26259,1,1,1
176,7.67176,1,1,1
177,1.20146,1,1,1
178,1.17941,1,1,1
179,1.00685,1,1,1
180,2.37506,1,1,1
181,1.60142,1,1,1
182,1.38158,1,1,1
183,1.44212,1,1,1
184,2.65036,1,1,1
185,1.56953,1,1,1
186,3.1597,1,1,1
187,1.43163,1,1,1
188,1.28484,1,1,1
189,2.12256,1,1,1
190,1.02893,1,1,1
191,1.08954,1,1,1
192,1.17099,1,1,1
193,1.10475,1,1,1
194,1.28717,1,1,1
195,1.74393,1,1,1
196,1.04874,1,1,1
197,1.62671,1,1,1
198,1.32216,1,1,1
199,1.76535,1,1,1
