event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.80989,1,1,1
1,2.90554,1,1,1
2,1.93981,1,1,1
3,1.4616,1,1,1
4,1.3695,1,1,1
5,2.60886,1,1,1
6,1.4066,1,1,1
7,1.5519,1,1,1
8,2.74018,1,1,1
9,2.26184,1,1,1
10,1.24966,1,1,1
11,1.15741,1,1,1
12,1.33376,1,1,1
13,1.28583,1,1,1
14,1.63452,1,1,1
15,1.5113,1,1,1
16,1.34505,1,1,1
17,1.83379,1,1,1
18,1.19051,1,1,1
19,1.21475,1,1,1
20,1.01944,1,1,1
21,3.39321,1,1,1
22,1.53387,1,1,1
23,1.35084,1,1,1
24,1.39214,1,1,1
25,1.12404,1,1,1
26,1.1698,1,1,1
27,2.26382,1,1,1
28,3.79797,1,1,1
29,1.3635,1,1,1
30,1.98968,1,1,1
31,1.82502,1,1,1
32,1.56546,1,1,1
33,2.94906,1,1,1
34,1.34119,1,1,1
35,1.30506,1,1,1
36,1.43281,1,1,1
37,3.40893,1,1,1
38,1.28313,1,1,1
39,1.63243,1,1,1
40,1.47532,1,1,1
41,1.55006,1,1,1
42,1.18878,1,1,1
43,1.1957,1,1,1
44,2.15187,1,1,1
45,1.1229,1,1,1
46,2.76132,1,1,1
47,1.42169,1,1,1
48,1.16696,1,1,1
49,1.48405,1,1,1
50,1.07147,1,1,1
51,1.17443,1,1,1
52,1.15535,1,1,1
53,1.2245,1,1,1
54,1.55679,1,1,1
55,1.43754,1,1,1
56,2.66912,1,1,1
57,1.66745,1,1,1
58,1.80294,1,1,1
59,1.54813,1,1,1
60,5.69189,1,1,1
61,1.62714,1,1,1
62,1.16712,1,1,1
63,1.49441,1,1,1
64,1.29913,1,1,1
65,3.46381,1,1,1
66,2.48535,1,1,1
67,1.40343,1,1,1
68,2.29749,1,1,1
69,1.18697,1,1,1
70,1.88899,1,1,1
71,1.42883,1,1,1
72,1.57631,1,1,1
73,1.95197,1,1,1
74,1.38373,1,1,1
75,3.7499,1,1,1
76,1.01723,1,1,1
77,1.3383,1,1,1
78,1.78862,1,1,1
79,1.42664,1,1,1
80,1.25002,1,1,1
81,2.00305,1,1,1
82,1.05756,1,1,1
83,1.45639,1,1,1
84,1.61116,1,1,1
85,1.84276,1,1,1
86,1.45307,1,1,1
87,1.9121,1,1,1
88,2.10797,1,1,1
89,4.45843,1,1,1
90,1.66025,1,1,1
91,2.36359,1,1,1
92,3.12969,1,1,1
93,1.0269,1,1,1
94,1.04774,1,1,1
95,2.06003,1,1,1
96,1.52087,1,1,1
97,2.02482,1,1,1
98,2.45466,1,1,1
99,3.05117,1,1,1
100,1.21835,1,1,1
101,1.3374,1,1,1
102,1.49493,1,1,1
103,2.20415,1,1,1
104,2.07087,1,1,1
105,1.10412,1,1,1
106,2.36704,1,1,1
107,1.46577,1,1,1
108,1.64402,1,1,1
109,2.04184,1,1,1
110,1.74633,1,1,1
111,5.02631,1,1,1
112,2.46074,1,1,1
113,1.68723,1,1,1
114,1.07924,1,1,1
115,1.10933,1,1,1
116,3.30645,1,1,1
117,2.88043,1,1,1
118,1.02814,1,1,1
119,1.24321,1,1,1
120,1.32769,1,1,1
121,1.43332,1,1,1
122,3.60936,1,1,1
123,3.49963,1,1,1
124,1.68844,1,1,1
125,2.6942,1,1,1
126,1.74687,1,1,1
127,1.57363,1,1,1
128,1.51813,1,1,1
129,1.3486,1,1,1
130,1.99812,1,1,1
131,1.57395,1,1,1
132,2.01405,1,1,1
133,1.39861,1,1,1
134,1.29735,1,1,1
135,2.1559,1,1,1
136,2.05574,1,1,1
137,2.18009,1,1,1
138,1.00978,1,1,1
139,1.17532,1,1,1
140,1.29877,1,1,1
141,1.24957,1,1,1
142,1.10876,1,1,1
143,1.11454,1,1,1
144,1.59738,1,1,1
145,2.39746,1,1,1
146,1.38123,1,1,1
147,1.01378,1,1,1
148,1.09206,1,1,1
149,2.75497,1,1,1
150,1.52993,1,1,1
151,1.20946,1,1,1
152,1.26142,1,1,1
153,4.19126,1,1,1
154,1.72737,1,1,1
155,6.36768,1,1,1
156,2.76973,1,1,1
157,2.35753,1,1,1
158,1.13509,1,1,1
159,1.99603,1,1,1
160,1.62272,1,1,1
161,1.27345,1,1,1
162,4.20149,1,1,1
163,1.1401,1,1,1
164,4.17953,1,1,1
165,1.61545,1,1,1
166,1.23946,1,1,1
167,1.02271,1,1,1
168,1.37336,1,1,1
169,1.81926,1,1,1
170,1.36859,1,1,1
171,2.67722,1,1,1
172,1.06225,1,1,1
173,2.36079,1,1,1
174,1.08172,1,1,1
175,1.01798,1,1,1
176,2.01064,1,1,1
177,2.27213,1,1,1
178,2.48532,1,1,1
179,1.97778,1,1,1
180,1.354,1,1,1
181,1.59024,1,1,1
182,2.22567,1,1,1
183,1.09448,1.25681,1,1.25681
184,1.74613,1,1,1
185,1.05348,1,1,1
186,2.22086,1,1,1
187,1.47378,1,1,1
188,7.76368,1,1,1
189,1.14601,1.17657,1,1.17657
190,2.92507,1,1,1
191,2.03945,1,1,1
192,1.1938,1,1,1
193,1.27311,1,1,1
194,1.04707,1,1,1
195,1.37585,1,1,1
196,1.3952,1,1,1
197,2.1913,1,1,1
198,1.1934,1,1,1
199,2.12145,1,1,1
